,id,title,doi,authors
18,19.0,Specialisation and wealth inequality in a model of a clustered economic network,10.1016/j.jas.2005.03.008,"[R A Bentley, M W Lake, S J Shennan, Alexander Bentley]"
19,20.0,UML as a cell and biochemistry modeling language,10.1016/j.biosystems.2004.12.003,"[K Webb, Tony White]"
20,21.0,Cell modeling with reusable agent-based formalisms,10.1007/s10489-006-6937-9,"[K Webb, Tony White]"
21,22.0,Spatial Behavior in Groups: an Agent-Based Approach,,"[Francesc S Beltran, Vicenc Quera, Laura Salas]"
22,25.0,Agent-based facilitation of water allocation: Case study in the Drome River Valley,10.1023/b:grup.0000003743.65698.78,"[G Abrami, Olivier Barreteau, F Cernesson, A Dumontier, P Garin]"
23,26.0,Probing the effects of the well-mixed assumption on viral infection dynamics,10.1016/j.jtbi.2006.03.014,"[Catherine Beauchemin, Catherine Beachemin]"
24,27.0,The discrete dynamics of small-scale spatial events: agent-based models of mobility in carnivals and street parades,10.1080/1365881031000135474,"[Michael Batty, J Desyllas, E Duxbury]"
25,29.0,Agent-based modelling - intelligent customer relationship management,10.1023/a:1024455405112,"[Iqbal Adjali, D Collings]"
26,30.0,Large-scale water resources management within the framework of GLOWA-Danube. Part A: The groundwater model,10.1016/j.pce.2005.06.003,"[Roland Barthel, J Braun, V Rojanschi, J Wolf]"
27,31.0,"Economic geography, trade, and war",10.1177/0022002702046003003,"[D H Bearce, Eric O Fisher]"
28,32.0,Suitability of Multi-Agent Simulations to study irrigated system viability: application to case studies in the Senegal River Valley,10.1016/j.agsy.2003.07.005,"[Olivier Barreteau, Francois Bousquet, C Millier, J Weber]"
29,33.0,Co-existence of Poisson and non-poisson processes in ordered papallel multilane pedestrian traffic,10.1002/cplx.20134,"[Johnrob Bantang, Caesar Saloma]"
30,35.0,An agent-based model to understand the multiple uses of land and resources around drillings in Sahel,10.1016/j.mcm.2005.02.014,"[Alassane Bah, A T Diop, A Ickowicz, C Le Page, I Toure]"
31,36.0,A comparison of simulation models applied to epidemics,,"[Raul Bagni, R Berchi, P Cariello]"
32,37.0,Modelling financial markets with agents competing on different time scales and with different amount of information,10.1016/j.physa.2005.08.067,"[J V Andersen, Johannes Wohlmuth]"
33,38.0,Beyond geography: Cooperation with persistent links in the absence of clustered neighborhoods,10.1207/s15327957pspr0604_08,[Robert Axelrod]
34,39.0,A hybrid agent-based model for estimating residential water demand,10.1177/0037549705053172,"[Ioannis N Athanasiadis, A K Mentes, P A Mitkas, Y A Mylopoulos]"
35,40.0,An agent based model for real-time signaling induced in osteocytic networks by mechanical stimuli,10.1016/j.jbiomech.2005.08.023,"[Brandon J Ausk, Ted S Gross, Sundar Srinivasan]"
36,41.0,Simulating the impact of a molecular `decision-process' on cellular phenotype and multicellular patterns in brain tumors,10.1016/j.jtbi.2004.10.019,"[C Athale, Thomas Deisboeck]"
37,42.0,Evolution of linguistic diversity in a simple communication system,10.1162/106454698568477,"[Takaya Arita, Y Koyama]"
38,43.0,Uncertainty and Cooperation: Analytical Results and a Simulated Agent Society,,"[Peter Andras, John Lazarus, Steven J Lynden, Gilbert Roberts]"
39,45.0,Impacts of demographic and socioeconomic factors on spatio-temporal dynamics of panda habitat,10.1007/s10531-004-1064-6,"[Li An, Guangming He, Zai Liang, Jianguo Liu]"
40,46.0,A multi-agent congestion and pricing model,,"[Xi Zou, David Levinson]"
41,47.0,Exploring complexity in a human-environment system: An agent-based spatial model for multidisciplinary and multiscale integration,10.1111/j.1467-8306.2005.00450.x,"[Li An, M Linderman, Jianguo Liu, J Qi, A Shortridge]"
42,48.0,Technical trading can induce long-run memory in financial markets,10.1016/s0378-4371(02)01201-3,"[J Alvarez- Ramirez, M Cisneros, C Ibarra- Valdez, A Soriano]"
43,49.0,Efficient resource distribution in a minority game with a biased pool of strategies,10.1016/s0378-4371(02)01795-8,"[P M Hui, N F Johnson, T S Lo]"
44,50.0,A cooperative agent-based model for active security systems,10.1016/j.jnca.2004.02.002,"[T S Sobh, M Zaki]"
45,51.0,Agent-based modeling of the spread of the 1918-1919 Spanish flu in three Canadian fur trading communities.,,"[Caroline Ahillen, L Sattenspiel]"
46,52.0,Agents in living color: Towards emic agent-based models,,[Michael Agar]
47,54.0,Emergence of heterogeneity in an agent-based model,10.1016/s0378-4371(02)01887-3,[W A T T Abdullah]
48,55.0,Optimization of HAART with genetic algorithms and agent-based models of HIV infection,10.1093/bioinformatics/btm408,"[Massimo Bernaschi, Filippo Castiglione, S Motta, F Pappalardo]"
49,56.0,Property rights and information flows: a simulation approach,10.1007/s00191-006-0031-7,"[Max Boisot, Kyeong Seok Han, Ian C Mac Mac Millan]"
50,57.0,"From discrete-time models to continuous-time, asynchronous modeling of financial markets",10.1111/j.1467-8640.2007.00302.x,"[Katalin Boer, Uzay Kaymak, Jaap Spiering]"
